S1,S2,ORT
2560,2642,4
2563,2648,9
2559,2637,1
2557,2643,3
2560,2644,5
2558,2635,0
2557,2639,1
2560,2639,3
2570,2654,15
2561,2639,3
2554,2640,0
2558,2639,2
2570,2645,11
2560,2643,5
2559,2644,5
2557,2640,2
2557,2641,2
2560,2638,2
2560,2644,5
2555,2648,5
2551,2641,0
2558,2643,4
2561,2639,3
2559,2640,3
2556,2639,1
2558,2638,1
2557,2640,2
2551,2640,1
2550,2637,3
2548,2635,5
2544,2631,9
2541,2629,11
2540,2628,12
2538,2627,14
2535,2629,14
2541,2625,13
2538,2625,15
2535,2621,18
2531,2621,20
2531,2616,23
2531,2616,23
2528,2615,25
2528,2615,25
2520,2609,32
2524,2605,32
2529,2606,29
2519,2605,34
2513,2599,40
2511,2596,43
2510,2595,44
2516,2593,42
2501,2591,50
2500,2590,51
2497,2585,55
2489,2553,75
2484,2578,65
2484,2575,67
2487,2574,66
2481,2571,70
2487,2567,69
2479,2566,74
2471,2562,80
2472,2557,82
2469,2558,83
2461,2554,89
2466,2554,86
2462,2550,90
2463,2548,91
2456,2543,97
2453,2544,98
2452,2535,103
2449,2535,104
2446,2535,106
2446,2533,107
2440,2531,111
2436,2533,112
2434,2526,116
2430,2522,120
2430,2521,121
2431,2515,123
2426,2512,127
2430,2504,129
2417,2508,134
2421,2504,134
2409,2497,143
2402,2497,147
2395,2499,149
2394,2497,151
2395,2491,153
2406,2490,148
2389,2487,158
2393,2484,158
2394,2481,159
2391,2482,160
2406,2480,153
2388,2474,165
2380,2481,166
2377,2470,173
2375,2471,173
2369,2458,183
2367,2444,191
2370,2455,184
2372,2455,183
2364,2452,188
2363,2439,195
2366,2437,195
2358,2447,194
2351,2440,201
2347,2434,206
2342,2429,211
2341,2429,211
2338,2429,213
2337,2424,216
2333,2417,221
2327,2414,226
2331,2418,222
2321,2409,231
2324,2422,223
2319,2407,233
2313,2402,239
2308,2400,242
2309,2395,244
2304,2389,250
2301,2389,251
2299,2384,255
2294,2386,256
2298,2385,255
2294,2380,259
2293,2366,267
2290,2376,263
2290,2371,266
2287,2362,272
2280,2365,274
2279,2364,275
2275,2373,272
2274,2355,282
2271,2349,286
2262,2345,293
2250,2324,309
2247,2322,312
2247,2311,317
2244,2319,315
2246,2318,314
2244,2316,316
2244,2312,318
2244,2310,319
2234,2304,327
2232,2304,328
2226,2298,334
2223,2288,341
2219,2287,343
2216,2276,350
2215,2292,343
2214,2287,346
2212,2277,352
2208,2280,352
2207,2281,352
2206,2275,356
2210,2272,355
2209,2267,358
2199,2265,364
2191,2263,369
2189,2257,373
2186,2253,377
2182,2250,380
2184,2249,380
2186,2246,380
2184,2248,380
2180,2247,383
2181,2249,381
2177,2250,383
2176,2239,389
2170,2240,391
2175,2235,391
2172,2237,392
2175,2242,388
2173,2236,392
2173,2232,394
2169,2224,400
2152,2237,402
2159,2227,403
2156,2223,407
2158,2211,412
2148,2213,416
2147,2211,417
2149,2208,418
2148,2203,421
2149,2202,421
2146,2200,423
2142,2205,423
2139,2202,426
2130,2189,437
2126,2189,439
2135,2187,435
2135,2191,433
2130,2189,437
2126,2183,442
2121,2174,449
2114,2174,452
2106,2173,457
2106,2162,462
2102,2160,465
2100,2158,467
2096,2155,471
2094,2146,476
2087,2144,481
2087,2147,479
2085,2141,483
2078,2133,491
2074,2127,496
2072,2123,499
2071,2115,503
2069,2113,505
2060,2107,513
2054,2100,519
2041,2084,534
2028,2069,548
2030,2068,547
2028,2064,550
2025,2061,553
2020,2056,558
2017,2054,561
2012,2047,567
2009,2036,574
2002,2036,577
2004,2035,577
2001,2033,579
2009,2020,582
1992,2022,589
1993,2029,585
1977,2014,601
1975,2010,604
1975,2012,603
1970,1994,614
1959,1976,629
1936,1950,653
1941,1951,650
1930,1940,661
1918,1947,664
1916,1925,676
1909,1924,680
1902,1913,689
1899,1908,693
1913,1908,686
1904,1900,694
1886,1894,706
1880,1892,710
1876,1883,717
1891,1883,709
1881,1883,714
1881,1884,714
1874,1869,725
1870,1870,726
1865,1863,732
1854,1854,742
1843,1844,753
1835,1834,762
1835,1825,766
1828,1824,770
1825,1820,774
1820,1811,781
1816,1806,785
1810,1807,788
1788,1782,811
1794,1778,810
1792,1783,809
1782,1771,820
1776,1753,832
1753,1740,850
1734,1710,874
1726,1703,882
1724,1700,884
1722,1699,886
1722,1701,885
1722,1688,891
1721,1691,890
1717,1691,892
1718,1692,891
1708,1683,901
1702,1672,909
1676,1646,935
1648,1611,967
1635,1599,979
1628,1590,987
1624,1576,996
1604,1546,1021
1603,1540,1025
1595,1533,1032
1593,1526,1037
1602,1520,1035
1591,1524,1039
1570,1503,1060
1568,1497,1064
1557,1483,1076
1546,1463,1092
1529,1448,1108
1515,1434,1122
1506,1421,1133
1494,1415,1142
1497,1412,1142
1498,1413,1141
1493,1414,1143
1487,1419,1143
1495,1402,1148
1496,1409,1144
1497,1407,1144
1489,1396,1154
1477,1384,1166
1481,1381,1165
1480,1376,1168
1484,1382,1163
1478,1369,1173
1473,1366,1177
1464,1361,1184
1464,1351,1189
1447,1343,1201
1447,1339,1203
1441,1340,1206
1445,1344,1202
1449,1336,1204
1445,1344,1202
1462,1345,1193
1466,1356,1185
1464,1357,1186
1468,1361,1182
1466,1367,1180
1477,1372,1172
1483,1378,1166
1487,1383,1161
1507,1396,1145
1520,1414,1129
1522,1427,1122
1542,1441,1105
1560,1458,1087
1569,1466,1079
1578,1483,1066
1617,1525,1025
1651,1566,988
1665,1570,979
1677,1599,958
1676,1603,957
1694,1605,947
1683,1609,950
1683,1606,952
1683,1609,950
1683,1607,951
1686,1606,950
1681,1605,953
1683,1602,954
1685,1607,950
1686,1606,950
1687,1609,948
1702,1618,936
1702,1622,934
1703,1609,940
1708,1631,927
1713,1634,923
1717,1650,913
1733,1656,902
1729,1661,901
1744,1672,888
1752,1681,880
1764,1690,869
1767,1701,862
1769,1702,861
1774,1708,855
1774,1712,853
1783,1710,850
1783,1723,843
1801,1737,827
1809,1751,816
1817,1763,806
1820,1778,797
1825,1780,794
1833,1777,791
1857,1794,771
1861,1799,766
1855,1799,769
1860,1821,756
1866,1829,749
1894,1862,718
1922,1892,689
1907,1892,697
1914,1886,696
1914,1895,692
1914,1889,695
1918,1893,691
1916,1892,692
1920,1892,690
1919,1895,689
1923,1897,686
1937,1910,673
1943,1917,666
1948,1930,657
1951,1938,652
1961,1938,648
1956,1940,648
1969,1949,637
1972,1960,630
1995,1968,615
1989,1978,613
1992,1982,609
2001,1991,600
2000,1993,600
2011,2010,586
2038,2009,573
2029,2027,568
2032,2034,563
2036,2041,558
2048,2051,547
2057,2063,536
2061,2065,533
2064,2073,528
2068,2076,524
2074,2083,518
2080,2095,509
2087,2102,502
2091,2101,500
2098,2112,491
2118,2127,474
2122,2140,465
2131,2151,455
2134,2165,447
2143,2158,446
2158,2180,427
2161,2182,425
2160,2187,423
2173,2196,412
2182,2207,402
2186,2202,402
2189,2212,396
2191,2216,393
2198,2218,388
2187,2225,390
2190,2212,395
2191,2221,390
2188,2221,393
2198,2220,387
2193,2222,389
2188,2220,392
2203,2240,375
2201,2245,373
2214,2260,359
2221,2258,357
2234,2271,344
2239,2275,339
2232,2273,344
2238,2276,339
2265,2273,327
2243,2273,338
2249,2279,332
2252,2283,329
2253,2287,326
2251,2292,325
2249,2308,318
2268,2304,310
2270,2317,303
2269,2312,306
2279,2324,295
2288,2338,283
2293,2353,273
2299,2340,277
2301,2344,274
2309,2351,266
2305,2356,266
2317,2364,256
2315,2362,258
2318,2367,254
2320,2367,253
2321,2369,251
2322,2367,252
2323,2365,252
2321,2373,249
2321,2375,248
2340,2383,235
2349,2396,224
2343,2394,228
2346,2378,234
2344,2389,230
2347,2394,226
2350,2398,222
2354,2407,216
2362,2415,208
2356,2415,211
2364,2417,206
2360,2417,208
2365,2419,204
2360,2422,205
2366,2423,202
2368,2420,202
2375,2426,196
2373,2426,197
2388,2435,185
2397,2443,176
2387,2447,179
2381,2447,182
2390,2450,176
2394,2441,179
2391,2448,177
2391,2452,175
2396,2452,172
2395,2452,173
2398,2456,169
2405,2452,168
2404,2465,162
2403,2463,163
2401,2468,162
2402,2467,162
2407,2467,159
2410,2474,154
2424,2491,139
2426,2491,138
2423,2489,140
2422,2487,142
2424,2488,140
2429,2491,136
2424,2492,138
2430,2491,136
2427,2494,136
2413,2497,141
2434,2500,129
2444,2504,122
2450,2508,117
2444,2510,119
2456,2507,115
2448,2512,116
2449,2507,118
2440,2516,118
2450,2517,113
2443,2517,116
2451,2517,112
2450,2521,111
2460,2532,100
2460,2534,99
2458,2530,102
2459,2534,100
2473,2536,92
2477,2549,83
2475,2554,82
2480,2554,79
2481,2556,78
2484,2562,73
2488,2566,69
2489,2571,66
2492,2570,65
2492,2572,64
2496,2580,58
2493,2582,59
2498,2582,56
2506,2590,48
2505,2591,48
2508,2589,48
2508,2587,49
2506,2596,45
2506,2588,49
2513,2592,44
2523,2607,31
2522,2624,23
2538,2605,25
2540,2620,16
2535,2620,19
2541,2616,18
2541,2618,17
2543,2622,14
2541,2635,8
2545,2628,10
2547,2623,11
2546,2628,9
2558,2638,1
2563,2643,6
2560,2641,4
2565,2638,5
2556,2641,2
2563,2641,5
2564,2654,12
2558,2643,4
2560,2643,5
2558,2639,2
2561,2619,6
2562,2642,5
2556,2640,1
2564,2642,6
2565,2645,8
2564,2641,6
2568,2643,9
2562,2640,4
2561,2637,2
2560,2639,3
2562,2643,6
2559,2638,2
2557,2639,1
2560,2643,5
2553,2639,0
2566,2643,8
2542,2641,5
2558,2641,3
2562,2646,7
2561,2640,4
2562,2641,5
2557,2647,5
2560,2642,4
